fecha,precio_real,precio_pred
2026-01-09,16769.83398437501,15575.305444794734
2026-01-12,21253.103515625004,16907.49936087795
2026-01-13,19180.234374999996,21762.20105718919
2026-01-14,16018.490234375018,19056.129333533703
2026-01-15,15576.074218749995,15788.168661587297
2026-01-16,17264.691406249996,15519.966069031703
2026-01-19,17973.126953124993,17400.119234646
2026-01-20,18497.542968750004,18012.579724996936
2026-01-21,18448.9140625,18559.677900493458
2026-01-22,18657.726562500007,18454.746128246272
2026-01-23,18831.25976562499,18706.47221069418
2026-01-26,18116.150390625025,18892.208566630463
2026-01-27,18116.150390624993,18055.986399138837
2026-01-28,17944.5234375,18113.17260281062
2026-01-29,17782.431640625033,17977.807364734555
2026-01-30,17782.431640625004,17774.342007808867
2026-02-01,17715.687500000004,17756.48479439156
2026-02-02,18008.40624999997,17714.473161400696
2026-02-03,17830.10546874999,18050.46145673842
2026-02-04,17621.29296874996,17821.09651001676
2026-02-05,16781.275390624996,17564.38460722021
2026-02-06,16832.763671874996,16744.13394710922
2026-02-09,16329.325195312495,16865.094324571408
2026-02-10,15255.70507812497,16293.516755474835
2026-02-11,14940.102539062511,15170.690376408214
2026-02-12,14303.17675781249,14889.367660816095
2026-02-13,14351.80468750001,14237.585874368695
2026-02-16,13491.763671875,14364.19927975649
2026-02-17,13114.185546875027,13409.096748522938
2026-02-18,13825.48242187499,13092.035579340793
2026-02-19,16091.908203124985,13903.642872311357
2026-02-20,15356.773437500013,16346.99486703106
2026-02-23,13903.667968749987,15293.561790749023
2026-02-24,15255.705078124995,13799.767571236138
2026-02-25,15465.470703125004,15411.128235428589
2026-02-26,16173.90722656251,15486.310606156174
2026-02-27,16173.907226562507,16238.51897443145
2026-03-01,16170.093750000002,16187.337676540154
2026-03-02,15732.445312499985,16167.873404335303
2026-03-03,15796.329101562495,15668.753779000603
2026-03-04,15254.750976562531,15811.803202020123
2026-03-05,15255.705078124995,15210.485252478838
2026-03-06,15245.216796874993,15234.917816411009
2026-03-09,15640.911132812502,15266.11642495597
2026-03-10,15640.911132812502,15693.81404066077
2026-03-11,15640.911132812502,15653.37557614006
2026-03-12,14935.334960937489,15623.242054573107
2026-03-13,15177.519531249989,14865.711817972891
2026-03-16,15446.401367187487,15208.672260961148
2026-03-17,15124.124023437478,15478.805164816813
2026-03-18,14767.522460937505,15064.029472110202
2026-03-19,14492.919921875013,14704.750720237813
2026-03-20,14966.799804687487,14437.520155570202
2026-03-23,14966.79980468746,15023.126903336813
2026-03-24,14826.63769531248,14980.424890156772
2026-03-25,14811.38281249999,14838.581312857683
2026-03-26,14228.805664062505,14800.905592441208
2026-03-27,14327.967773437498,14164.454491276807
2026-03-30,15202.309570312487,14342.523643526842
2026-03-31,15124.124023437504,15327.115783392393
2026-04-01,15124.124023437505,15147.679612449208
2026-04-02,15124.124023437505,15130.294733353676
2026-04-03,14811.382812499989,15123.46536050208
2026-04-06,14484.337890624989,14799.276247016862
2026-04-07,14951.54394531251,14460.842732284329
2026-04-08,14402.338867187495,15041.873911723036
2026-04-09,14590.174804687507,14391.996052276107
2026-04-10,15016.999999999989,14621.362411665466
2026-04-13,15150.000000000015,15092.86581480833
2026-04-14,15242.00000000001,15200.604015832747
2026-04-15,15478.000000000011,15274.584622622893
2026-04-16,15470.999999999965,15506.743507764128
2026-04-17,15470.999999999993,15493.243827384107
2026-04-20,15499.00000000001,15471.0416459407
2026-04-21,15499.00000000001,15491.003217387095
2026-04-22,15165.999999999995,15527.451269870755
2026-04-23,15254.999999999995,15150.230405113658
2026-04-24,15493.999999999987,15265.377389180338
2026-04-27,15213.000000000035,15514.647186274746
2026-04-28,14500.000000000004,15180.318110125516
2026-04-29,15000.000000000005,14436.241660456937
2026-04-30,15000.000000000004,15054.970437564498
2026-05-01,14900.999999999993,15015.792312739166
2026-05-04,15047.000000000007,14881.554136552773
2026-05-05,15385.00000000002,15075.173270203848
2026-05-06,15493.999999999987,15470.658173616182
2026-05-07,15627.00000000003,15526.034396314442
2026-05-08,15843.999999999969,15664.092827243096
2026-05-11,16244.99999999999,15902.024211140797
2026-05-12,16195.999999999993,16310.11361720925
2026-05-13,16139.999999999995,16230.956562780173
2026-05-14,16299.999999999993,16161.78047705153
2026-05-15,16407.99999999997,16264.148825067217
2026-05-18,16259.000000000005,16388.87589250622
2026-05-19,16800.000000000004,16237.901728938812
2026-05-20,16800.000000000004,16865.078919423253
2026-05-21,16996.999999999993,16820.359600537686
2026-05-22,17270.00000000001,17031.307137524338
2026-05-25,17495.999999999967,17309.23243364272
2026-05-26,17698.000000000007,17530.73557918781
2026-05-27,17698.00000000001,17717.635382039654
2026-05-28,17698.00000000001,17716.30955014239
2026-05-29,17698.00000000001,17714.366363712175
